token_symbol,chain,contract_address,pair_address,price_usd,fdv_usd,lp_usd,volume_24h_usd,unique_traders_24h,buys_24h,sells_24h,dex,trade_url,explorer_url,twitter_url,telegram_url,website_url,age_hours,reject_reason
SOL,pulsechain,0x873301F2B4B83FeaFF04121B68eC9231B29Ce0df,0x96e6160A40F54B58c00d9c708d3A53Ea28FB21f8,0.0003339,333928.0,5372.81,17.16,2,2,0,DEX,https://dexscreener.com/pulsechain/0x96e6160a40f54b58c00d9c708d3a53ea28fb21f8,,https://x.com/SolOnPulse,https://t.me/SolanaBackshots,,1224.53,age>720h
SOL,pulsechain,0x873301F2B4B83FeaFF04121B68eC9231B29Ce0df,0x8dcAEb31598EeC379D15CCBb21F098F57c454b97,0.0003498,349836.0,1293.47,50.67,5,5,0,DEX,https://dexscreener.com/pulsechain/0x8dcaeb31598eec379d15ccbb21f098f57c454b97,,https://x.com/SolOnPulse,https://t.me/SolanaBackshots,,5519.65,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0x1E4600929Edf7F36B4A7eAc4C7571057D82a246c,236.8,260469537.0,1973875.49,445168.4,981,373,608,DEX,https://dexscreener.com/bsc/0x1e4600929edf7f36b4a7eac4c7571057d82a246c,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,21386.21,age>720h
SOL,near,sol.token.a11bd.near,refv1-3019,239.32,142689.0,70248.61,279.9,4,2,2,DEX,https://dexscreener.com/near/refv1-3019,,,,,11340.62,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0xAe08C9D357731FD8d25681dE753551BE14C00405,236.71,260368847.0,239531.15,4004.16,203,88,115,DEX,https://dexscreener.com/bsc/0xae08c9d357731fd8d25681de753551be14c00405,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,34512.77,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0xAb46D39Cb398fb3649ECBa781180016fEf75F50B,233.59,256932077.0,170930.37,62128.66,327,135,192,DEX,https://dexscreener.com/bsc/0xab46d39cb398fb3649ecba781180016fef75f50b,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,14755.11,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0x3530F7d8D55c93D778e17cbd30bf9eB07b884f35,233.38,256704787.0,125372.73,5350.66,242,106,136,DEX,https://dexscreener.com/bsc/0x3530f7d8d55c93d778e17cbd30bf9eb07b884f35,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,33911.65,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0x3075aF6113BC0F1539b816f514d36B36Ca5217D1,233.49,256821186.0,191992.71,140226.25,353,158,195,DEX,https://dexscreener.com/bsc/0x3075af6113bc0f1539b816f514d36b36ca5217d1,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,9808.28,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0x8abd16bCC9077A6C5eD834eC5bA43Ad03b9139dc,233.31,256627012.0,294595.22,11119.67,215,93,122,DEX,https://dexscreener.com/bsc/0x8abd16bcc9077a6c5ed834ec5ba43ad03b9139dc,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,33306.07,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0xf6DE70ec096edEdC671993C8f3754Cd52730B256,231.72,254877232.0,103096.05,4368.82,116,48,68,DEX,https://dexscreener.com/bsc/0xf6de70ec096ededc671993c8f3754cd52730b256,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,5419.41,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0xa585Bf3F293dC86Ef78324A3bB992AE888254299,238.59,262435687.0,137899.11,2574.52,21,17,4,DEX,https://dexscreener.com/bsc/0xa585bf3f293dc86ef78324a3bb992ae888254299,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,21182.67,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0x7eDc24acfE188b0886F53C0922bDB8f1c801341E,239.29,263203117.0,193273.43,508.72,8,8,0,DEX,https://dexscreener.com/bsc/0x7edc24acfe188b0886f53c0922bdb8f1c801341e,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,15622.13,age>720h
SOLANA,ethereum,0x3D806324b6Df5AF3c1a81aCbA14A8A62Fe6D643F,0x41F50f520f5095fC8403DF083285232B822611c3,6.456e-10,573927.0,275549.73,2653.01,9,4,5,Ethereum DEX,https://dexscreener.com/ethereum/0x41f50f520f5095fc8403df083285232b822611c3,https://etherscan.io/token/0x3D806324b6Df5AF3c1a81aCbA14A8A62Fe6D643F,https://twitter.com/tickerSOL,https://telegram.me/SOLANAPORTALRFK,https://www.solanacoin.online/,18883.51,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0x4f8f15CbE23Ef6f734EBa6d47a126682AF195B0D,232.83,256099483.0,79057.4,5126.34,48,23,25,DEX,https://dexscreener.com/bsc/0x4f8f15cbe23ef6f734eba6d47a126682af195b0d,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,9809.16,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0x1CC4504a0d5254167520E2E36c35c82a932816Fd,231.62,254772423.0,78595.79,2645.2,35,12,23,DEX,https://dexscreener.com/bsc/0x1cc4504a0d5254167520e2e36c35c82a932816fd,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,9809.18,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0x515e94dC736b9d8B7d28ECf1CeCe0abA3d75dA97,238.44,262269666.0,59517.72,2901.53,34,12,22,DEX,https://dexscreener.com/bsc/0x515e94dc736b9d8b7d28ecf1cece0aba3d75da97,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,18976.36,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0x1B932598da273069e1878E4a1505b6f833462210,231.47,254608043.0,43894.4,17316.44,194,83,111,DEX,https://dexscreener.com/bsc/0x1b932598da273069e1878e4a1505b6f833462210,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,,fdv>15000000
SOL,osmosis,factory/osmo1n3n75av8awcnw4jl62n3l48e6e4sxqmaf97w5ua6ddu4s475q5qq9udvx4/alloyed/allSOL,1960-factory_osmo1n3n75av8awcnw4jl62n3l48e6e4sxqmaf97w5ua6ddu4s475q5qq9udvx4_alloyed_allSOL-ibc_498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,236.22,144108159521.0,8712.6,107.31,35,16,19,DEX,https://dexscreener.com/osmosis/1960-factory_osmo1n3n75av8awcnw4jl62n3l48e6e4sxqmaf97w5ua6ddu4s475q5qq9udvx4_alloyed_allsol-ibc_498a0751c798a0d9a389aa3691123dada57daa4fe165d5c75894505b876ba6e4,,,,,10039.47,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0x40Cc5022c928C8F763b810A90A055856dd99B31c,231.12,254214672.0,25177.95,4460.93,220,109,111,DEX,https://dexscreener.com/bsc/0x40cc5022c928c8f763b810a90a055856dd99b31c,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,34854.47,age>720h
SOL,osmosis,factory/osmo1n3n75av8awcnw4jl62n3l48e6e4sxqmaf97w5ua6ddu4s475q5qq9udvx4/alloyed/allSOL,2923-factory_osmo1k6c8jln7ejuqwtqmay3yvzrg3kueaczl96pk067ldg8u835w0yhsw27twm_alloyed_allETH-factory_osmo1n3n75av8awcnw4jl62n3l48e6e4sxqmaf97w5ua6ddu4s475q5qq9udvx4_alloyed_allSOL,239.21,145932272518.0,1026.62,1.35,1,1,0,DEX,https://dexscreener.com/osmosis/2923-factory_osmo1k6c8jln7ejuqwtqmay3yvzrg3kueaczl96pk067ldg8u835w0yhsw27twm_alloyed_alleth-factory_osmo1n3n75av8awcnw4jl62n3l48e6e4sxqmaf97w5ua6ddu4s475q5qq9udvx4_alloyed_allsol,,,,,3711.62,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0xe9e95CCd62573Cfd283168E76fa4D0d2934C9ffC,233.28,256593806.0,20687.54,532.34,16,12,4,DEX,https://dexscreener.com/bsc/0xe9e95ccd62573cfd283168e76fa4d0d2934c9ffc,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,15283.8,age>720h
ETH,bsc,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,0x62Fcb3C1794FB95BD8B1A97f6Ad5D8a7e4943a1e,4470.93,2704846200.0,1158220.53,11082344.49,34144,14952,19192,DEX,https://dexscreener.com/bsc/0x62fcb3c1794fb95bd8b1a97f6ad5d8a7e4943a1e,https://bscscan.com/token/0x2170Ed0880ac9A755fd29B2688956BD959F933F8,,,,21347.08,age>720h
ETH,ethereum,0x0000000000000000000000000000000000000000,0x00b9edc1583bf6ef09ff3a09f6c23ecb57fd7d0bb75625717ec81eed181e22d7,4475.28,0.0,6412804.84,11515431.4,5077,2741,2336,Ethereum DEX,https://dexscreener.com/ethereum/0x00b9edc1583bf6ef09ff3a09f6c23ecb57fd7d0bb75625717ec81eed181e22d7,https://etherscan.io/token/0x0000000000000000000000000000000000000000,,,,5758.2,age>720h
ETH,bsc,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,0x9F599F3D64a9D99eA21e68127Bb6CE99f893DA61,4472.23,2705628525.0,147450.32,521896.7,13208,7484,5724,DEX,https://dexscreener.com/bsc/0x9f599f3d64a9d99ea21e68127bb6ce99f893da61,https://bscscan.com/token/0x2170Ed0880ac9A755fd29B2688956BD959F933F8,,,,20863.8,age>720h
